,title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
2835,21st century ethnic music Spring Festival,2016-03-27,"Abstract,Festival,Psychedelic,World",Nakano Zero,http://www.nicesnet.jp/facility/zero/index.html,"Nakano-ku, Nakano 2-9-7",,Nakano,中野駅,Only day tickets,1000yen
8428,"8mm Records Festival In Japan: Luca Massolin (IT) & ASTRO, Los Doroncos, 魔術の庭, more",2012-10-04,Psychedelic,Earthdom,http://www1.odn.ne.jp/shinjuku-dom/index.html/dom.html,"Lisbon Bldg B1F, 3-32-3 Okubo, Shinjuku-ku",,Okubo,"Okubo, Shin-Okubo",,
8434,"8mm Records Festival In Japan: Luca Massolin (IT) & SACHIKO, 福岡林嗣 & 浦邊雅祥, 水晶の舟, more",2012-10-05,Psychedelic,Earthdom,http://www1.odn.ne.jp/shinjuku-dom/index.html/dom.html,"Lisbon Bldg B1F, 3-32-3 Okubo, Shinjuku-ku",,Okubo,"Okubo, Shin-Okubo",2300,2500
3841,ALL JAPAN THEREMIN FESTIVAL,2015-09-13,Mixed Genre,Rock Joint GB,http://info85594.wixsite.com/rjgb,Kichijoji Honcho 2-13-14 B-1,http://info85594.wixsite.com/rjgb/map,Kichijoji,Kichijoji,3500,4000
158,"Acid Mothers Guru Guru, Manitatsu, Japanese New Music Festival Petit",2017-03-07,"Psychedelic,Avant garde,Experimental",Goodman,http://www.clubgoodman.com,"A.S Building B1F, 55, Kanda-Sakumagashi, Chiyodaku",http://www.clubgoodman.com/access.html,Akihabara,Akihabara,"¥3,000 (+ order)","¥3,300 (+ order)"
2730,Asian Meeting Festival,2016-02-07,Experimental,Cay,http://www.spiral.co.jp,"Spiral building. B1, 5-6-23 Minami-Aoyama, Minato-",,Aoyama,Omotesando,3000,3500
2663,Asian Meeting Festival Talk Session 1 @ Japan Foundation Sakura Hall,2016-02-04,Other,,,,,,,,
2213,"BIG BEACH FESTIVAL '10 w/ The Chemical Brothers, Sasha, Groove Armada... @ Makuhari",2010-06-05,Festival,,,,,,,,
9632,"BIG BEACH FESTIVAL '12: The Chemical Brothers, more",2012-06-02,Festival,,,,,,,Hayawari pair 17000,
7888,"BIG BEACH FESTIVAL '13: FATBOY SLIM, BASEMENT JAXX, EROL ALKAN, MAYA JANE COLES, more",2013-06-01,Festival,,,,,,,,
4200,"BIG BEACH FESTIVAL with FATBOY SLIM, LUCIANO, SHINICHI OSAWA",2009-06-06,House,,,,,,,,
830,BLIP FESTIVAL TOKYO 2011,2011-10-22,Chiptune,High,http://www.koenji-high.com,4-30-1 Koenji-Minami,http://koenji-high.com/access/,Koenji,Koenji,3000yen,3000yen
842,BLIP FESTIVAL TOKYO 2011,2011-10-23,Chiptune,High,http://www.koenji-high.com,4-30-1 Koenji-Minami,http://koenji-high.com/access/,Koenji,Koenji,3000yen,3000yen
8558,BLIP FESTIVAL TOKYO 2012,2012-10-20,Chiptune,High,http://www.koenji-high.com,4-30-1 Koenji-Minami,http://koenji-high.com/access/,Koenji,Koenji,3000,
8413,BLIP FESTIVAL TOKYO 2012,2012-10-21,Chiptune,High,http://www.koenji-high.com,4-30-1 Koenji-Minami,http://koenji-high.com/access/,Koenji,Koenji,3000,
2264,BLUE NOTE JAZZ FESTIVAL,2016-09-17,"Festival,Jazz",Red Brick Warehouse,http://www.yokohama-akarenga.jp/,"1-1 Shinko, Naka-ku, Yokohama 231-0001",,Yokohama,"Bashamichi, Nihon-Oodori, Minatomirai, Sakuragicho, Kannai","Standing 10800, A 19000, S 26000",
3873,"BLUE NOTE JAZZ FESTIVAL: Pat Metheny, Jeff Beck, Robert Glasper Trio, Incognito, Snarky Puppy, more",2015-09-27,Jazz,,,,,,,"Standing 9800, A 15800, S 23000",
3427,Blue Note Jazz Festival in Japan 2017,2017-09-23,"Jazz,Festival",Red Brick Warehouse,http://www.yokohama-akarenga.jp/,"1-1 Shinko, Naka-ku, Yokohama 231-0001",,Yokohama,"Bashamichi, Nihon-Oodori, Minatomirai, Sakuragicho, Kannai","S 24000, A 16000, Standing 11000",
3440,Blue Note Jazz Festival in Japan 2017,2017-09-24,"Jazz,Festival",Red Brick Warehouse,http://www.yokohama-akarenga.jp/,"1-1 Shinko, Naka-ku, Yokohama 231-0001",,Yokohama,"Bashamichi, Nihon-Oodori, Minatomirai, Sakuragicho, Kannai","S 24000, A 16000, Standing 11000",
3103,CAMPS FESTIVAL in Gunma,2009-10-02,Festival,,,,,,,,
4366,"CHIP UNION FESTIVAL 2015: 黒魔, omodaka, Saitone, Sharaku Kobayashi, suesett, YMCK, more",2015-12-30,Chiptune,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,3000,3500
1114,"CHIP UNION FESTIVAL: YMCK, Chip Tanaka, FAMILY CONTINUE, Robotprins, ajiponn, Chibi-Tech",2016-11-23,Chiptune,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,3000 JPY + 1 drink order,3500 JPY + 1 drink order
7770,CIRCLE SOUNDS FESTIVAL,2013-04-29,Festival,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2500,
512,CONNECT KABUKICHO Music Festival 2017,2017-04-23,Festival,,,,,,,6000,7000
3238,CRAFTROCK FESTIVAL,2016-05-28,Festival,PIT,http://toyosu-pit.team-smile.org/,"Toyosu 6-1-23, Koto-ku, Tokyo",http://toyosu-pit.team-smile.org/access/index.html,Toyosu,"Shin-Toyosu, Toyosu",6800,
6022,CRAFTROCK FESTIVAL '14,2014-08-16,"Festival,  ",,,,,,,4800,5300
6111,"Chip Union Festival: YMCK, Hige Driver, SEXY-SYNTHESIZER, KUNIO, Storz, フラット3rd",2014-09-13,Chiptune,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2500,
1723,DEAD POP FESTIVAL,2016-07-09,Festival,,,,,,,"1 day 8500, 2 days 15800",
1736,DEAD POP FESTIVAL,2016-07-10,Festival,,,,,,," 1 day 8500, 2 days 15800",
9813,"DEEP MOAT FESTIVAL '12: bronbaba, Aureole, sgt., no.9 orchestra, ハイスイノナサ, number0...",2012-07-16,Festival,Womb,http://www.womb.co.jp,"Studio Arias, 2-16 Maruyama-cho, Shibuya",,Shibuya,Shibuya,"3,800yen (2drink別￥1,000)","4,300yen (2drink別￥1,000)"
3457,DORAVIDEO presents Festival GIGA NOISE,2016-05-15,"Noise,Festival",Goodman,http://www.clubgoodman.com,"A.S Building B1F, 55, Kanda-Sakumagashi, Chiyodaku",http://www.clubgoodman.com/access.html,Akihabara,Akihabara,2500,2800
360,ENBAN SUMMER FESTIVAL,2011-07-16,Experimental,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2000yen,2500yen
367,ENBAN SUMMER FESTIVAL,2011-07-17,Experimental,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2000yen,2500yen
4444,"ENDLESS SUMMER Beach Music Festival w/ Dachambo, Gocoo, Project Wa-Go, SUPERFUNKTION... @ Chigasaki",2009-08-22,Festival,,,,,,,,
10056,EXTREMITIES: JOLT JAPANESE AUSTRALIAN SONIC FESTIVAL: DAY 1,2012-09-21,Experimental,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,2500 yen,3000 yen
10063,EXTREMITIES: JOLT JAPANESE AUSTRALIAN SONIC FESTIVAL: DAY 2,2012-09-22,Experimental,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,2500 yen,3000 yen
10070,EXTREMITIES: JOLT JAPANESE AUSTRALIAN SONIC FESTIVAL: DAY 3,2012-09-23,Experimental,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,2500 yen,3000 yen
47,"FREAKS MUSIC FESTIVAL '11: DJ HARVEY, LOGIC SYSTEM, WASHED OUT, EYE, RADIO SLAVE...",2011-05-07,Festival,,,,,,,"￥6,300","￥7,500"
2765,"FTARRI DOUBTMUSIC FESTIVAL w/ $, DoraVideo, Kazuo Imai Trio, Koichi Makigami,more",2010-09-18,Other,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,4000,4500
2503,"FTARRI DOUBTMUSIC FESTIVAL w/ Junji Hirose, Chie Mukai+ Tetragrammaton, SEIJAKU, more",2010-09-20,Other,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,4000,4500
2772,"FTARRI DOUBTMUSIC FESTIVALw/ Active Recovering Music, Eddie Prevost + Sachiko M, more",2010-09-19,Other,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,4000,4500
4358,FTARRI FESTIVAL 2015 (Day 1),2015-11-21,Festival,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,"4,000yen +drink","4,500yen +drink"
4389,FTARRI FESTIVAL 2015 (Day 2),2015-11-22,Festival,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,"4,000yen + drink","4,500yen + drink"
2472,FUJI ROCK FESTIVAL,2010-07-30,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
2474,FUJI ROCK FESTIVAL,2010-07-31,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
2480,FUJI ROCK FESTIVAL,2010-08-01,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
412,FUJI ROCK FESTIVAL,2011-07-29,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
416,FUJI ROCK FESTIVAL,2011-07-30,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
422,FUJI ROCK FESTIVAL,2011-07-31,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
9765,FUJI ROCK FESTIVAL,2012-07-27,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
9769,FUJI ROCK FESTIVAL,2012-07-28,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
9778,FUJI ROCK FESTIVAL,2012-07-29,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
8104,FUJI ROCK FESTIVAL,2013-07-26,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 17800, 3 days 42800",
8106,FUJI ROCK FESTIVAL,2013-07-27,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 17800, 3 days 42800",
8114,FUJI ROCK FESTIVAL,2013-07-28,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 17800, 3 days 42800",
5579,FUJI ROCK FESTIVAL,2014-07-25,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
5585,FUJI ROCK FESTIVAL,2014-07-26,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
5590,FUJI ROCK FESTIVAL,2014-07-27,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
3524,FUJI ROCK FESTIVAL,2015-07-24,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
3530,FUJI ROCK FESTIVAL,2015-07-25,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
3538,FUJI ROCK FESTIVAL,2015-07-26,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
1941,FUJI ROCK FESTIVAL,2016-07-22,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
1951,FUJI ROCK FESTIVAL,2016-07-23,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
1961,FUJI ROCK FESTIVAL,2016-07-24,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
4625,FUJI ROCK FESTIVAL,2017-07-28,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 19000, 2 days 36000, 3 days 43000",
4634,FUJI ROCK FESTIVAL,2017-07-29,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 19000, 2 days 36000, 3 days 43000",
4649,FUJI ROCK FESTIVAL,2017-07-30,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 19000, 2 days 36000, 3 days 43000",
2231,FUJI ROCK FESTIVAL,2018-07-27,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
1655,FUJI ROCK FESTIVAL,2018-07-28,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
2267,FUJI ROCK FESTIVAL,2018-07-29,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
4582,"FUJI ROCK FESTIVAL w/ Franz Ferdinand, Public Enemy, Bad Brains, Dinosaur Jr., more",2009-07-25,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
4581,"FUJI ROCK FESTIVAL w/ Oasis, Patti Smith, Lily Allen, Tortoise, Peaches, more",2009-07-24,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
4587,"FUJI ROCK FESTIVAL w/ Weezer, Röyksopp, Animal Collective, Basement Jaxx, more",2009-07-26,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
2836,"FUJISAWA ROCK FESTIVAL w/ HOSE, ju sei, core of bells",2010-08-22,Other,CLAJA,http://www6.ocn.ne.jp/~claja/,Fujisawa Honmachi 3-8-21,,Fujisawa,Fujisawa-Honmachi,,1500yen +1food&1drink
357,GFB`11 (Tsukuba Rock Festival),2011-07-16,Festival,,,,,,,"1 day 3900, 2 days 6900",
363,GFB`11 (Tsukuba Rock Festival),2011-07-17,Festival,,,,,,,"1 day 3900, 2 days 6900",
27,GIGAModular Festival,2017-02-26,"Electronic,Experimental",Goodman,http://www.clubgoodman.com,"A.S Building B1F, 55, Kanda-Sakumagashi, Chiyodaku",http://www.clubgoodman.com/access.html,Akihabara,Akihabara,3000,3500
2110,GREEN ROOM FESTIVAL,2010-05-22,Festival,,,,,,,,
2117,GREEN ROOM FESTIVAL,2010-05-23,Festival,,,,,,,,
112,GREENROOM FESTIVAL,2011-05-21,Festival,,,,,,,,
159,GREENROOM FESTIVAL,2011-05-22,Festival,,,,,,,,
9527,GREENROOM FESTIVAL,2012-05-19,Festival,,,,,,,"1 day 7300, 2 days 13000",
9564,GREENROOM FESTIVAL,2012-05-20,Festival,,,,,,,"1 day 7300, 2 days 13000",
7910,GREENROOM FESTIVAL,2013-05-18,Festival,,,,,,,"1 day 9000, 2 days 16000",
7919,GREENROOM FESTIVAL,2013-05-19,Festival,,,,,,,"1 day 9000, 2 days 16000",
3482,GREENROOM FESTIVAL,2016-05-21,Festival,,,,,,,,
3497,GREENROOM FESTIVAL,2016-05-22,Festival,,,,,,,,
713,GREENROOM FESTIVAL,2017-05-20,Festival,Red Brick Warehouse,http://www.yokohama-akarenga.jp/,"1-1 Shinko, Naka-ku, Yokohama 231-0001",,Yokohama,"Bashamichi, Nihon-Oodori, Minatomirai, Sakuragicho, Kannai",,
